,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,albany,7,US,1619895323,31,55.99,42.6001,-73.9662,8.01
1,mar del plata,0,AR,1619895278,49,72.0,-38.0023,-57.5575,14.97
2,ushuaia,20,AR,1619895544,65,44.6,-54.8,-68.3,4.61
3,ancud,75,CL,1619895545,82,60.01,-41.8697,-73.8203,12.66
4,erdenet,33,MN,1619895545,81,38.77,49.0333,104.0833,4.7
5,butaritari,99,KI,1619895499,76,82.63,3.0707,172.7902,11.81
6,tailai,4,CN,1619895545,47,46.96,46.3833,123.4,7.07
7,kanigoro,73,ID,1619895546,93,73.02,-8.13,112.219,2.64
8,trincomalee,100,LK,1619895546,77,82.47,8.5711,81.2335,8.61
9,aguilas,100,ES,1619895546,47,66.0,37.4063,-1.5829,8.5
10,new norfolk,100,AU,1619895546,62,54.0,-42.7826,147.0587,2.86
11,general salgado,100,BR,1619895547,32,86.76,-20.6483,-50.3606,5.48
12,deniliquin,83,AU,1619895547,57,59.32,-35.5333,144.9667,7.63
13,rikitea,98,PF,1619895255,80,76.21,-23.1203,-134.9692,12.91
14,tasiilaq,90,GL,1619895547,93,26.6,65.6145,-37.6368,3.44
15,reutte,100,AT,1619895547,95,44.01,47.4833,10.7167,3.0
16,ati,18,TD,1619895548,13,94.33,13.2154,18.3353,7.96
17,torbay,75,CA,1619895331,67,55.4,47.6666,-52.7314,29.93
18,tanout,0,NE,1619895548,4,89.98,14.9709,8.8879,11.07
19,palmer,20,US,1619895548,41,57.99,42.1584,-72.3287,12.66
20,mahebourg,20,MU,1619895490,94,73.4,-20.4081,57.7,4.61
21,hobart,100,AU,1619895549,62,57.2,-42.8794,147.3294,9.22
22,bastia,75,FR,1619895549,94,60.8,42.6667,9.3333,3.44
23,mildura,12,AU,1619895549,48,60.8,-34.2,142.15,10.36
24,barrow,90,US,1619895274,86,21.2,71.2906,-156.7887,10.36
25,oriximina,78,BR,1619895550,79,82.15,-1.7656,-55.8661,3.11
26,ternate,90,ID,1619895550,77,80.44,0.8,127.4,0.69
27,honiara,100,SB,1619895550,86,76.55,-9.4333,159.95,3.67
28,thompson,90,CA,1619895550,86,21.2,55.7435,-97.8558,9.22
29,alibag,100,IN,1619895551,79,86.0,18.6411,72.8792,5.75
30,castro,91,BR,1619895448,68,68.52,-24.7911,-50.0119,2.08
31,evensk,6,RU,1619895551,84,19.71,61.95,159.2333,8.61
32,kapaa,20,US,1619895551,78,77.0,22.0752,-159.319,11.5
33,bluff,15,NZ,1619895552,86,48.0,-46.6,168.3333,3.0
34,hami,100,CN,1619895552,34,63.82,42.8,93.45,30.69
35,hilo,40,US,1619895364,65,77.0,19.7297,-155.09,3.44
36,khurai,100,IN,1619895552,26,88.92,24.0436,78.3319,14.67
37,veraval,57,IN,1619895553,82,81.61,20.9,70.3667,9.17
38,atuona,0,PF,1619895553,73,78.66,-9.8,-139.0333,9.46
39,gigmoto,62,PH,1619895553,81,77.74,13.7796,124.39,4.16
40,hobyo,100,SO,1619895553,64,85.14,5.3505,48.5268,13.09
41,avarua,75,CK,1619895526,78,78.8,-21.2078,-159.775,9.22
42,santa catarina de tepehuanes,0,MX,1619895554,12,75.31,25.35,-105.7333,9.93
43,penzance,20,GB,1619895554,57,50.0,50.1186,-5.5371,11.61
44,cape town,0,ZA,1619895554,82,61.0,-33.9258,18.4232,8.05
45,najran,40,SA,1619895555,17,82.4,17.4924,44.1277,6.91
46,port alfred,0,ZA,1619895555,68,61.95,-33.5906,26.891,3.38
47,chuy,4,UY,1619895555,55,73.09,-33.6971,-53.4616,5.39
48,sao filipe,1,CV,1619895555,74,72.79,14.8961,-24.4956,11.88
49,two hills,100,CA,1619895556,38,55.4,53.7169,-111.7518,18.41
50,fuling,100,CN,1619895556,68,75.16,29.7022,107.3919,4.5
51,bambous virieux,20,MU,1619895556,94,75.0,-20.3428,57.7575,4.61
52,batemans bay,100,AU,1619895557,97,55.0,-35.7167,150.1833,4.0
53,brae,75,GB,1619895557,75,42.8,60.3964,-1.353,10.36
54,katsuura,0,JP,1619895557,78,64.0,35.1333,140.3,15.99
55,kahului,20,US,1619895398,73,75.2,20.8947,-156.47,13.8
56,svetlyy,0,RU,1619895557,65,44.6,54.675,20.1347,8.95
57,jacareacanga,100,BR,1619895558,75,82.06,-6.2222,-57.7528,2.59
58,moose factory,90,CA,1619895558,93,37.4,51.2585,-80.6094,9.22
59,punta arenas,20,CL,1619895558,66,46.4,-53.15,-70.9167,8.05
60,ivanovskoye,0,RU,1619895558,67,59.0,44.5795,41.8764,0.58
61,ilulissat,1,GL,1619895559,34,46.4,69.2167,-51.1,10.36
62,kedrovyy,0,RU,1619895559,69,33.8,56.1667,91.8167,4.47
63,georgetown,40,MY,1619895367,89,78.8,5.4112,100.3354,4.61
64,pandan,66,PH,1619895559,83,76.82,14.0453,124.1694,5.61
65,qaanaaq,76,GL,1619895560,71,34.93,77.484,-69.3632,3.47
66,busselton,14,AU,1619895560,96,55.99,-33.65,115.3333,3.15
67,agutaya,13,PH,1619895560,75,83.82,11.148,120.9417,17.49
68,vila franca do campo,75,PT,1619895561,88,60.8,37.7167,-25.4333,10.36
69,san cristobal,40,VE,1619895561,65,84.2,7.7669,-72.225,8.05
70,saint-philippe,0,RE,1619895561,78,75.2,-21.3585,55.7679,5.75
71,kodiak,1,US,1619895313,81,39.2,57.79,-152.4072,4.61
72,ust-nera,99,RU,1619895561,97,26.83,64.5667,143.2,2.17
73,saravan,90,AM,1619895562,82,55.4,39.7196,45.6483,6.91
74,bethel,1,US,1619895562,38,61.0,41.3712,-73.414,10.36
75,pantai remis,40,MY,1619895562,94,77.0,4.4557,100.6288,4.25
76,mataura,5,NZ,1619895562,86,48.0,-46.1927,168.8643,3.0
77,tuktoyaktuk,90,CA,1619895563,92,14.0,69.4541,-133.0374,8.05
78,arraial do cabo,75,BR,1619895528,73,73.4,-22.9661,-42.0278,6.91
79,ahipara,0,NZ,1619895563,78,54.27,-35.1667,173.1667,7.45
80,klaksvik,20,FO,1619895563,87,37.4,62.2266,-6.589,1.14
81,kalabo,14,ZM,1619895564,76,68.86,-14.97,22.6814,4.88
82,pisco,0,PE,1619895564,73,71.6,-13.7,-76.2167,9.22
83,padang,79,ID,1619895564,85,78.19,-0.9492,100.3543,4.07
84,yellowknife,20,CA,1619895471,63,28.99,62.456,-114.3525,10.36
85,banfora,43,BF,1619895565,33,92.37,10.6333,-4.7667,3.4
86,gobabis,0,NA,1619895565,29,64.58,-22.45,18.9667,12.44
87,geraldton,100,AU,1619895565,58,55.4,-28.7667,114.6,9.22
88,faanui,11,PF,1619895565,68,80.62,-16.4833,-151.75,3.44
89,sal rei,75,CV,1619895566,64,75.2,16.1833,-22.9167,20.71
90,lasa,75,IT,1619895566,100,55.0,46.6166,10.7002,10.36
91,hofn,100,IS,1619895566,67,38.14,64.2539,-15.2082,17.05
92,griffith,1,US,1619895567,37,73.0,41.5284,-87.4237,26.46
