,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,hermanus,2,ZA,1619860787,58,66.99,-34.4187,19.2345,1.99
1,sabla,0,NG,1619860787,22,97.92,12.7525,4.7077,9.4
2,khatanga,91,RU,1619860787,99,32.88,71.9667,102.5,6.73
3,yenangyaung,36,MM,1619860788,27,101.14,20.4667,94.8833,7.45
4,victoria,100,HK,1619860739,72,82.0,22.2855,114.1577,1.99
5,cape town,0,ZA,1619860788,52,66.99,-33.9258,18.4232,8.05
6,castro,93,BR,1619860788,96,50.29,-24.7911,-50.0119,6.91
7,hambantota,20,LK,1619860789,70,89.6,6.1241,81.1185,6.91
8,jaguarari,100,BR,1619860789,94,66.61,-10.2639,-40.1958,11.52
9,imbituba,0,BR,1619860789,94,66.99,-28.24,-48.6703,2.3
10,busselton,57,AU,1619860789,80,64.99,-33.65,115.3333,5.28
11,avarua,40,CK,1619860659,88,75.2,-21.2078,-159.775,4.61
12,kodiak,1,US,1619860790,80,35.6,57.79,-152.4072,6.91
13,ushuaia,75,AR,1619860790,93,37.4,-54.8,-68.3,3.44
14,butaritari,100,KI,1619860790,73,83.3,3.0707,172.7902,9.82
15,longyearbyen,20,SJ,1619860790,57,17.6,78.2186,15.6401,10.36
16,severodvinsk,75,RU,1619860791,56,39.2,64.5635,39.8302,11.18
17,mecca,93,SA,1619860791,21,96.71,21.4267,39.8261,4.14
18,bethel,79,US,1619860791,67,39.99,41.3712,-73.414,1.01
19,torbay,90,CA,1619860792,100,43.0,47.6666,-52.7314,18.41
20,bredasdorp,0,ZA,1619860792,52,64.4,-34.5322,20.0403,2.3
21,georgetown,20,MY,1619860792,70,90.0,5.4112,100.3354,9.22
22,albany,100,US,1619860583,73,37.99,42.6001,-73.9662,13.0
23,ponta do sol,52,PT,1619860792,58,63.0,32.6667,-17.1,4.0
24,cidreira,64,BR,1619860793,78,64.31,-30.1811,-50.2056,14.92
25,tete,75,MZ,1619860793,58,86.0,-16.1564,33.5867,11.5
26,prince rupert,90,CA,1619860494,93,46.4,54.3161,-130.3201,6.91
27,osmena,58,PH,1619860793,68,84.22,10.5208,119.9258,7.25
28,paita,93,PE,1619860794,78,70.11,-5.0892,-81.1144,11.18
29,bluff,5,NZ,1619860794,85,48.99,-46.6,168.3333,5.01
30,qaanaaq,88,GL,1619860794,55,28.45,77.484,-69.3632,8.52
31,punta arenas,40,CL,1619860795,81,41.0,-53.15,-70.9167,11.5
32,ancud,100,CL,1619860795,88,54.72,-41.8697,-73.8203,17.18
33,vilyuysk,100,RU,1619860795,99,35.76,63.7553,121.6247,6.26
34,maragogi,98,BR,1619860795,75,78.57,-9.0122,-35.2225,8.48
35,bambous virieux,75,MU,1619860796,69,82.4,-20.3428,57.7575,11.5
36,ostrovnoy,92,RU,1619860796,63,28.45,68.0531,39.5131,11.05
37,hilo,20,US,1619860785,78,71.6,19.7297,-155.09,8.05
38,chokurdakh,9,RU,1619860796,90,13.89,70.6333,147.9167,5.37
39,puerto ayora,4,EC,1619860797,96,73.0,-0.7393,-90.3518,1.01
40,rikitea,13,PF,1619860797,81,79.05,-23.1203,-134.9692,22.17
41,port alfred,3,ZA,1619860797,51,67.14,-33.5906,26.891,9.91
42,port augusta,8,AU,1619860797,23,73.4,-32.5,137.7667,6.91
43,kavaratti,10,IN,1619860798,68,85.3,10.5669,72.642,3.18
44,east london,0,ZA,1619860798,52,69.8,-33.0153,27.9116,11.5
45,orasac,100,BA,1619860798,58,68.88,44.6289,16.0711,4.81
46,tasiilaq,90,GL,1619860799,100,24.8,65.6145,-37.6368,2.3
47,barrow,90,US,1619860502,86,21.2,71.2906,-156.7887,8.05
48,vaini,40,TO,1619860799,83,77.0,-21.2,-175.2,13.8
49,mar del plata,90,AR,1619860500,100,55.99,-38.0023,-57.5575,11.41
50,nemuro,40,JP,1619860799,65,42.8,43.3236,145.575,11.5
51,tuktoyaktuk,99,CA,1619860800,96,10.98,69.4541,-133.0374,4.76
52,egvekinot,99,RU,1619860800,94,13.55,66.3167,-179.1667,2.84
53,thompson,90,CA,1619860507,93,24.8,55.7435,-97.8558,11.5
54,katsuura,75,JP,1619860800,88,66.99,35.1333,140.3,17.27
55,aksay,20,RU,1619860800,52,71.01,47.26,39.87,17.9
56,loikaw,86,MM,1619860801,60,80.17,19.6742,97.2094,1.9
57,yeppoon,3,AU,1619860597,73,73.4,-23.1333,150.7333,9.22
58,gizo,59,SB,1619860801,73,83.25,-8.103,156.8419,7.27
59,cherskiy,10,RU,1619860801,95,10.74,68.75,161.3,4.7
60,dikson,84,RU,1619860802,89,24.8,73.5069,80.5464,11.68
61,kosh-agach,100,RU,1619860802,67,39.42,50.0,88.6667,9.95
62,brae,40,GB,1619860804,81,42.8,60.3964,-1.353,4.61
63,saint-francois,90,FR,1619860804,87,48.2,46.4154,3.9054,8.05
64,road town,1,VG,1619860804,87,77.0,18.4167,-64.6167,1.99
65,pangnirtung,57,CA,1619860805,71,28.78,66.1451,-65.7125,6.62
66,port elizabeth,0,ZA,1619860805,45,68.0,-33.918,25.5701,9.22
67,seymchan,99,RU,1619860805,98,31.21,62.8833,152.4333,1.16
68,atuona,13,PF,1619860806,73,78.44,-9.8,-139.0333,4.05
69,pimentel,59,PE,1619860806,85,64.99,-6.8367,-79.9342,1.99
70,ucluelet,86,CA,1619860806,91,50.0,48.9329,-125.5528,7.05
71,coquimbo,0,CL,1619860806,82,51.8,-29.9533,-71.3436,11.5
72,los llanos de aridane,75,ES,1619860807,52,68.0,28.6585,-17.9182,8.05
73,cooma,12,AU,1619860807,71,48.2,-36.2333,149.1333,5.75
74,vao,100,NC,1619860807,74,74.3,-22.6667,167.4833,24.94
75,otjimbingwe,2,NA,1619860808,22,79.27,-22.35,16.1333,15.84
76,ribeira grande,20,PT,1619860808,82,62.6,38.5167,-28.7,16.11
77,lebu,100,CL,1619860808,96,55.69,-37.6167,-73.65,13.76
78,hithadhoo,59,MV,1619860808,68,84.56,-0.6,73.0833,7.29
79,jamestown,1,US,1619860809,80,36.0,42.097,-79.2353,4.61
80,sulangan,35,PH,1619860809,70,84.24,11.1373,123.7228,6.31
81,chuy,43,UY,1619860809,96,58.46,-33.6971,-53.4616,6.22
82,saldanha,0,ZA,1619860809,59,62.6,-33.0117,17.9442,3.44
83,bengkulu,79,ID,1619860810,75,84.43,-3.8004,102.2655,6.67
84,kaseda,20,JP,1619860810,59,60.8,31.4167,130.3167,20.71
85,beloha,66,MG,1619860810,35,88.57,-25.1667,45.05,4.68
86,carnarvon,100,AU,1619860811,49,73.4,-24.8667,113.6333,13.8
87,dingle,55,PH,1619860811,57,87.49,10.9995,122.6711,11.18
88,new norfolk,89,AU,1619860811,67,63.0,-42.7826,147.0587,2.73
89,logan lake,20,CA,1619860811,54,51.8,50.4998,-120.8025,6.91
90,key west,1,US,1619860600,78,78.8,24.5557,-81.7826,4.61
91,la ronge,39,CA,1619860812,75,41.0,55.1001,-105.2842,4.61
